beam_width,catapult_usage_pct,avg_qps_rel_pct,avg_dists_computed_rel_pct,avg_nodes_visited_rel_pct,avg_latency_us_rel_pct,p50_latency_us_rel_pct,p95_latency_us_rel_pct,avg_recall_rel_pct,p50_recall_rel_pct,p95_recall_rel_pct
1,94.86666666666667,38.47024239434369,-42.34195057770114,-33.57287598802958,-32.191589786633244,-40.77433892530733,-16.62204605470157,11.011727290797072,,0.0
2,94.86666666666667,35.865540607914376,-37.332584101854614,-28.165908966423842,-30.09749836582818,-35.0972218193824,-16.5674816227064,9.393607971807022,,0.0
4,94.86666666666667,35.27627097512339,-32.479648332937465,-23.330803419444106,-29.064388535585948,-31.212365675776244,-18.869876190245336,6.515809051456911,100.0,0.0
8,94.86666666666667,27.927203192182336,-26.793715317003514,-18.361300586905177,-23.78282663162399,-26.129271336996474,-13.902049509792583,4.098484307140195,0.0,0.0
16,94.86666666666667,22.0987475346362,-21.08892009509776,-13.714442618340215,-19.307175884526963,-21.317073405982388,-10.9379761923672,1.8290417911723422,0.0,0.0
