catapult,beam_width,avg_qps
off,1,2274.308604199581
off,2,1725.2091268636066
off,4,1324.0852059982988
off,8,1011.1533609458706
off,16,733.5983988131165
on,1,3149.240637030575
on,2,2343.9647068303184
on,4,1791.1730912077794
on,8,1293.5402146418048
on,16,895.7144568849608
