num_threads,beam_width,catapult_usage_pct
4,1,98.11933333333333
4,2,97.96933333333334
4,4,97.854
4,8,97.73911111111111
4,16,97.644
8,1,98.13755555555555
8,2,97.96422222222223
8,4,97.85955555555556
8,8,97.72622222222223
8,16,97.59822222222222
12,1,98.134
12,2,97.94822222222223
12,4,97.83022222222223
12,8,97.74622222222222
12,16,97.63199999999999
16,1,98.10000000000001
16,2,97.92977777777777
16,4,97.842
16,8,97.73422222222223
16,16,97.62222222222222
