label,num_threads,beam_width,avg_nodes_visited
catapult,4,1,2.6696355555555553
catapult,4,2,4.6705
catapult,4,4,8.124511111111111
catapult,4,8,14.166466666666667
catapult,4,16,24.88588
catapult,8,1,2.668057777777778
catapult,8,2,4.673326666666667
catapult,8,4,8.127502222222223
catapult,8,8,14.183362222222222
catapult,8,16,24.88812
catapult,12,1,2.6669777777777774
catapult,12,2,4.673588888888889
catapult,12,4,8.120006666666667
catapult,12,8,14.177195555555556
catapult,12,16,24.869448888888886
catapult,16,1,2.671773333333333
catapult,16,2,4.67342
catapult,16,4,8.111937777777777
catapult,16,8,14.173897777777777
catapult,16,16,24.87370888888889
lshapg,4,1,4.184417777777778
lshapg,4,2,6.452511111111111
lshapg,4,4,10.130173333333333
lshapg,4,8,16.341206666666668
lshapg,4,16,27.127035555555555
lshapg,8,1,4.184417777777778
lshapg,8,2,6.452511111111111
lshapg,8,4,10.130173333333333
lshapg,8,8,16.341206666666668
lshapg,8,16,27.127035555555555
lshapg,12,1,4.184417777777778
lshapg,12,2,6.452511111111111
lshapg,12,4,10.130173333333333
lshapg,12,8,16.341206666666668
lshapg,12,16,27.127035555555555
lshapg,16,1,4.184417777777778
lshapg,16,2,6.452511111111111
lshapg,16,4,10.130173333333333
lshapg,16,8,16.341206666666668
lshapg,16,16,27.127035555555555
vanilla,4,1,4.372393333333333
vanilla,4,2,6.773033333333333
vanilla,4,4,10.617533333333334
vanilla,4,8,16.971566666666668
vanilla,4,16,28.016893333333332
vanilla,8,1,4.372393333333333
vanilla,8,2,6.773033333333333
vanilla,8,4,10.617533333333334
vanilla,8,8,16.971566666666668
vanilla,8,16,28.016893333333332
vanilla,12,1,4.372393333333333
vanilla,12,2,6.773033333333333
vanilla,12,4,10.617533333333334
vanilla,12,8,16.971566666666668
vanilla,12,16,28.016893333333332
vanilla,16,1,4.372393333333333
vanilla,16,2,6.773033333333333
vanilla,16,4,10.617533333333334
vanilla,16,8,16.971566666666668
vanilla,16,16,28.016893333333332
