label,num_threads,beam_width,catapult_usage_pct,qps_rel_pct,avg_dists_computed_rel_pct,avg_nodes_visited_rel_pct,avg_recall_rel_pct
catapult,4,1,98.11933333333333,-25.445741006635675,-12.825029356652745,-38.943380614837444,3.3544710964066033
catapult,4,2,97.96933333333334,-13.283684430196887,-14.336727915541978,-31.042713506011587,-14.686306601200238
catapult,4,4,97.854,2.2353458269291915,-12.988939793235806,-23.48023918507961,-23.13566879250083
catapult,4,8,97.73911111111111,0.04975446567220931,-10.093947949946129,-16.528232514381905,-26.262823490862253
catapult,4,16,97.644,3.2887591011530626,-7.362956993842991,-11.175447955923731,-27.43867192118356
catapult,8,1,98.13755555555555,-24.16610337433265,-12.864549912034896,-38.97946560668274,2.481389578163786
catapult,8,2,97.96422222222223,-13.398689119692659,-14.269802989037265,-31.000979374086445,-15.661029278050567
catapult,8,4,97.85955555555556,-3.2653264238694115,-12.97068432595115,-23.452067753757415,-23.169056645239266
catapult,8,8,97.72622222222223,2.2623020736923234,-10.011708188772742,-16.428680387654914,-26.01875354883306
catapult,8,16,97.59822222222222,2.889389203415239,-7.352002110608462,-11.167452779680064,-27.393541503118023
catapult,12,1,98.134,-26.646304266746895,-12.856063627528297,-39.00416603772051,2.849002849002861
catapult,12,2,97.94822222222223,-11.64104641558135,-14.295477943696019,-30.997107811533642,-15.544644480814704
catapult,12,4,97.83022222222223,-2.5770806310093515,-13.027872782257388,-23.522663769990523,-23.27555966916442
catapult,12,8,97.74622222222222,-2.4887732965343163,-10.043042257163924,-16.46501566999969,-26.420487062609837
catapult,12,16,97.63199999999999,4.330912345690622,-7.431982414185565,-11.234095111822223,-27.425604405357618
catapult,16,1,98.10000000000001,-20.605348252288188,-12.764583510997749,-38.89448799208367,1.8656373495083436
catapult,16,2,97.92977777777777,-4.0989650321285005,-14.299334541763217,-30.99960136029647,-14.968176032005834
catapult,16,4,97.842,9.478920495833494,-13.127135340489657,-23.598659659389405,-23.12468038527046
catapult,16,8,97.73422222222223,9.810038748767022,-10.051977177706023,-16.484446862432016,-26.092591719800986
catapult,16,16,97.62222222222222,6.011522299502823,-7.417290072406146,-11.218889999858813,-27.334524802570805
lshapg,4,1,,-15.947054361760383,-3.0663197725203006,-4.299145598876172,-99.99080966822902
lshapg,4,2,,-12.905179986710936,-2.5481031925102338,-4.732329023759257,-99.96726677577742
lshapg,4,4,,-4.901556946340156,-1.1232371113045874,-4.59014334779579,-99.97929107868121
lshapg,4,8,,-7.881272839503177,1.329633975257521,-3.7142122019770296,-99.97475138530733
lshapg,4,16,,-5.944432139656786,3.6476657078293333,-3.1761472165761564,-99.96869036308371
lshapg,8,1,,-10.090494758899183,-3.0663197725203006,-4.299145598876172,-99.99080966822902
lshapg,8,2,,-11.338657937565534,-2.5481031925102338,-4.732329023759257,-99.96726677577742
lshapg,8,4,,-7.869068515880118,-1.1232371113045874,-4.59014334779579,-99.97929107868121
lshapg,8,8,,-7.40473170142934,1.329633975257521,-3.7142122019770296,-99.97475138530733
lshapg,8,16,,-9.68812505085699,3.6476657078293333,-3.1761472165761564,-99.96869036308371
lshapg,12,1,,-14.7731689041917,-3.0663197725203006,-4.299145598876172,-99.99080966822902
lshapg,12,2,,-13.240215334688168,-2.5481031925102338,-4.732329023759257,-99.96726677577742
lshapg,12,4,,-15.387442429651852,-1.1232371113045874,-4.59014334779579,-99.97929107868121
lshapg,12,8,,-13.70125927839531,1.329633975257521,-3.7142122019770296,-99.97475138530733
lshapg,12,16,,-7.339825178456823,3.6476657078293333,-3.1761472165761564,-99.96869036308371
lshapg,16,1,,-8.812155273516389,-3.0663197725203006,-4.299145598876172,-99.99080966822902
lshapg,16,2,,-6.062592536455911,-2.5481031925102338,-4.732329023759257,-99.96726677577742
lshapg,16,4,,-2.5406969911859054,-1.1232371113045874,-4.59014334779579,-99.97929107868121
lshapg,16,8,,-2.1599578590231108,1.329633975257521,-3.7142122019770296,-99.97475138530733
lshapg,16,16,,-7.3311174842973,3.6476657078293333,-3.1761472165761564,-99.96869036308371
